jobId,jobTitleClean,companyName,city,seniority,contractType,workType,sector,publishedAt,keywordMatchScorePercentage,matchedKeywords,unmatchedKeywords,jobUrl
4315928754,Staff Software Engineer,Asana,Warsaw,senior,Full-time,Engineering and Information Technology,Software Development,2026-07-07T00:00:00.000Z,0,"",Python|SQL|PySpark|Databricks|Git|Machine Learning|Azure|C++,https://pl.linkedin.com/jobs/view/staff-software-engineer-at-asana-4315928754?trk=public_jobs_topcard-title
4319846211,"Software Engineer, Data Infrastructure",Asana,Warsaw,mid,Full-time,Engineering and Information Technology,Software Development,2026-07-01T00:00:00.000Z,50,Python|PySpark|Databricks|Azure,SQL|Git|Machine Learning|C++,https://pl.linkedin.com/jobs/view/software-engineer-data-infrastructure-at-asana-4319846211?trk=public_jobs_topcard-title
4320189469,Data and AI DevOps Engineer,EY,Warsaw,mid,Full-time,Engineering and Information Technology,Professional Services,2026-06-27T00:00:00.000Z,63,Python|PySpark|Databricks|Git|Azure,SQL|Machine Learning|C++,https://pl.linkedin.com/jobs/view/data-and-ai-devops-engineer-at-ey-4320189469?trk=public_jobs_topcard-title
4320425081,AI Engineer (Python Software Engineer + GenAI) | Digital&IPA (freelance),PwC Polska,Warsaw,unspecified,Full-time,Engineering and Information Technology,Business Consulting and Services,2026-06-22T00:00:00.000Z,50,Python|SQL|Git|Azure,PySpark|Databricks|Machine Learning|C++,https://pl.linkedin.com/jobs/view/ai-engineer-python-software-engineer-%2B-genai-digital-ipa-freelance-at-pwc-polska-4320425081?trk=public_jobs_topcard-title
4327979568,Data & AI Engineer with MS Fabric or Databricks - Junior/Mid/Senior,Accenture Poland,Warsaw,senior,Full-time,Engineering and Information Technology,IT Services and IT Consulting,2026-07-10T00:00:00.000Z,63,Python|SQL|PySpark|Databricks|Azure,Git|Machine Learning|C++,https://pl.linkedin.com/jobs/view/data-ai-engineer-with-ms-fabric-or-databricks-junior-mid-senior-at-accenture-poland-4327979568?trk=public_jobs_topcard-title
4328059432,Equipment Data Management & Migration Consultant,Accenture Poland,Warsaw,junior,Full-time,Strategy/Planning and Consulting,Business Consulting and Services,2026-07-10T00:00:00.000Z,0,"",Python|SQL|PySpark|Databricks|Git|Machine Learning|Azure|C++,https://pl.linkedin.com/jobs/view/equipment-data-management-migration-consultant-at-accenture-poland-4328059432?trk=public_jobs_topcard-title
4338293868,Data Engineer (Process Mining) | f/m/d,ERGO,Warsaw,mid,Full-time,Information Technology,IT Services and IT Consulting,2026-06-19T00:00:00.000Z,50,Python|SQL|Machine Learning|C++,PySpark|Databricks|Git|Azure,https://pl.linkedin.com/jobs/view/data-engineer-process-mining-f-m-d-at-ergo-4338293868?trk=public_jobs_topcard-title
4364812513,Senior / Expert AWS AI Engineer,Nordea,Warsaw,senior,Full-time,Engineering and Information Technology,Banking,2026-06-20T00:00:00.000Z,38,Python|PySpark|Machine Learning,SQL|Databricks|Git|Azure|C++,https://pl.linkedin.com/jobs/view/senior-expert-aws-ai-engineer-at-nordea-4364812513?trk=public_jobs_topcard-title
4370447390,Data Engineer,PwC Polska,Warsaw,unspecified,Full-time,Information Technology,Business Consulting and Services,2026-07-11T00:00:00.000Z,75,Python|SQL|PySpark|Databricks|Git|Azure,Machine Learning|C++,https://pl.linkedin.com/jobs/view/data-engineer-at-pwc-polska-4370447390?trk=public_jobs_topcard-title
4372620493,Staff Data Engineer (Reporting & Analytics) (f/m/d) - Kraków (onsite) OR Poland (remote),Danaher,Warsaw,senior,Full-time,Information Technology,Medical Equipment Manufacturing,2026-06-26T00:00:00.000Z,38,PySpark|Databricks|Azure,Python|SQL|Git|Machine Learning|C++,https://pl.linkedin.com/jobs/view/staff-data-engineer-reporting-analytics-f-m-d-krak%C3%B3w-onsite-or-poland-remote-at-danaher-4372620493?trk=public_jobs_topcard-title
4373822008,Data Engineer / 1,Inetum,Warsaw,mid,Full-time,Other,IT Services and IT Consulting,2026-06-25T00:00:00.000Z,63,Python|SQL|PySpark|Databricks|Machine Learning,Git|Azure|C++,https://pl.linkedin.com/jobs/view/data-engineer-1-at-inetum-4373822008?trk=public_jobs_topcard-title
4374776790,Junior Data Engineer / IB,Inetum,Warsaw,junior,Full-time,Other,IT Services and IT Consulting,2026-06-28T00:00:00.000Z,25,SQL|Azure,Python|PySpark|Databricks|Git|Machine Learning|C++,https://pl.linkedin.com/jobs/view/junior-data-engineer-ib-at-inetum-4374776790?trk=public_jobs_topcard-title
4375197895,Data Engineer | TMB,Inetum,Warsaw,mid,Full-time,Engineering,Software Development,2026-06-28T00:00:00.000Z,38,Python|SQL|PySpark,Databricks|Git|Machine Learning|Azure|C++,https://pl.linkedin.com/jobs/view/data-engineer-tmb-at-inetum-4375197895?trk=public_jobs_topcard-title
4377953195,Data Platform Engineer,Brightstar Lottery,Warsaw,unspecified,Full-time,Engineering and Information Technology,IT Services and IT Consulting,2026-06-26T00:00:00.000Z,50,Python|SQL|Machine Learning|Azure,PySpark|Databricks|Git|C++,https://pl.linkedin.com/jobs/view/data-platform-engineer-at-brightstar-lottery-4377953195?trk=public_jobs_topcard-title
4385038853,Data and AI Solutions Engineer,EY,Warsaw,mid,Full-time,Engineering and Information Technology,Professional Services,2026-07-04T00:00:00.000Z,88,Python|SQL|PySpark|Databricks|Git|Machine Learning|Azure,C++,https://pl.linkedin.com/jobs/view/data-and-ai-solutions-engineer-at-ey-4385038853?trk=public_jobs_topcard-title
4386976022,Junior Data Engineer / 1,Inetum,Warsaw,junior,Full-time,Information Technology,IT Services and IT Consulting,2026-07-02T00:00:00.000Z,38,Python|PySpark|Machine Learning,SQL|Databricks|Git|Azure|C++,https://pl.linkedin.com/jobs/view/junior-data-engineer-1-at-inetum-4386976022?trk=public_jobs_topcard-title
4388530860,API Engineer (Python),IDC,Warsaw,unspecified,Full-time,Engineering and Information Technology,"Technology, Information and Internet",2026-07-09T00:00:00.000Z,13,Python,SQL|PySpark|Databricks|Git|Machine Learning|Azure|C++,https://pl.linkedin.com/jobs/view/api-engineer-python-at-idc-4388530860?trk=public_jobs_topcard-title
